15 100
1 7 13
1 2 15
0 10 0
1 14 15
0 2 0
1 8 12
1 10 12
0 8 0
1 3 4
1 5 6
0 1 0
0 14 1
0 1 1
1 4 11
1 10 12
0 7 0
1 7 11
1 1 6
0 2 0
1 5 8
0 12 0
0 9 1
0 4 1
0 7 0
1 11 15
0 1 1
0 13 1
1 7 12
1 8 13
0 15 1
1 4 8
1 6 15
0 13 1
0 8 0
0 4 0
0 7 1
1 2 8
1 2 13
1 6 13
0 9 0
0 6 1
0 5 0
1 2 8
0 15 1
1 11 13
1 3 5
1 3 13
0 7 0
0 13 0
0 6 1
1 11 11
1 6 15
0 3 0
0 5 1
1 13 14
1 4 9
0 12 0
1 5 12
0 8 0
1 8 14
0 1 0
0 4 1
1 8 14
0 5 0
0 12 0
1 1 15
1 1 11
0 1 1
1 6 7
1 1 11
0 4 1
0 1 0
0 5 1
0 3 1
1 8 13
1 2 12
1 3 6
0 15 0
0 1 0
1 8 14
0 4 1
1 2 13
1 9 10
1 1 14
0 13 1
1 1 12
0 12 0
1 8 11
0 14 0
1 3 14
1 6 11
1 2 4
0 5 1
1 9 10
1 4 11
1 7 10
0 14 1
0 3 1
1 1 8
1 1 5
