99998 100000
1 27849 87911
1 61518 68666
1 5092 29868
0 79570 13
1 49584 97052
1 26356 72115
1 47536 71225
0 4216 81
0 77188 11
0 55105 0
1 36195 80812
1 60381 71349
1 16116 81362
0 87076 6
0 13676 90
0 20978 33
1 61307 86791
1 61403 62544
1 68032 72638
0 53074 3
1 30264 85445
1 5345 33471
0 75292 11
0 22160 45
1 59315 91283
0 40763 3
1 32 12900
0 89227 78
0 67261 79
1 38715 77672
0 80115 87
1 53174 71972
0 27605 52
1 65577 96539
1 34589 84505
0 5031 12
0 3636 12
0 79251 56
0 93276 78
0 99474 85
1 1804 60362
1 47435 69954
1 31419 90030
1 31393 93088
1 36430 42639
1 56022 78918
1 44075 88220
1 12292 86522
1 79862 93163
1 22832 45203
1 22685 33761
1 18405 38182
0 98745 62
1 52645 88951
0 2981 22
1 9901 79755
1 29220 86784
0 46523 83
0 99622 63
1 22683 91479
0 91366 65
1 38337 39308
1 20021 74389
1 188 65592
0 40638 52
1 46356 90663
0 59326 49
0 85894 26
1 67249 76301
0 19169 22
1 6423 98432
1 88470 89426
1 81210 99837
1 21458 70883
1 11682 67222
0 1739 74
0 58927 7
1 60194 88517
1 24554 35272
1 40077 65121
0 12077 7
1 41504 42569
1 52280 98017
1 77430 88887
0 16735 99
0 38832 10
0 35459 63
1 27168 61017
1 21263 97803
1 10900 43382
1 46299 72422
1 17849 67855
0 57559 1
0 44691 92
0 17789 98
0 69601 44
0 66595 2
1 73718 87646
1 12821 44697
0 89729 49
0 54830 42
0 57266 23
0 58317 92
0 55914 38
0 12286 47
1 49887 55551
1 19715 74778
0 24696 86
0 47406 48
1 844 25521
0 86883 51
0 97825 32
0 21156 80
1 24125 45364
0 95912 83
1 51602 93173
1 55347 59581
0 20237 17
1 54771 58326
0 77347 26
0 73301 61
1 11196 67084
1 32034 81464
0 93612 8
1 61365 63103
0 29543 72
1 41346 80087
1 49166 91632
0 38790 74
1 21600 27825
0 84585 98
0 63711 79
1 8142 32582
1 31991 97380
0 61631 49
0 31754 31
0 56711 61
0 96194 18
0 83535 52
1 32167 51158
0 19168 42
0 27870 20
0 30457 14
0 6543 3
1 77142 78474
0 55102 86
1 4596 36768
0 22655 38
0 56343 28
1 61536 75003
1 19917 57822
1 59918 62464
0 9869 40
0 86215 46
0 4313 53
0 19446 56
0 22585 36
1 29434 31251
0 52099 38
0 96064 98
1 49807 76143
0 80444 82
1 86807 94784
1 49881 75552
0 60681 97
1 41510 86433
1 47288 71270
0 35277 1
1 64647 84464
0 79874 0
0 4501 51
0 57049 44
1 49772 62522
0 95238 54
0 10502 49
1 29560 41495
0 93465 28
0 1921 51
1 57719 73018
1 39754 51823
1 91016 97942
1 26605 75042
0 26525 4
1 7659 40932
0 56406 1
1 26064 69298
1 473 60866
1 24426 86313
0 7468 84
1 13719 70625
1 280 34130
0 8065 21
1 48126 77074
1 11486 25228
1 28081 49628
1 41820 62155
1 27978 73969
0 74455 50
0 76505 90
1 18820 46752
0 98849 68
1 66546 92320
0 29045 95
0 45165 0
1 69879 87822
0 97176 55
0 24547 91
0 63076 22
0 42603 17
1 29304 34369
0 4912 95
1 1443 18967
1 22088 51243
1 69655 79849
0 37648 96
1 20818 39312
1 79441 79852
1 75985 88204
0 70886 95
0 56645 1
1 49628 90325
0 12876 4
0 66924 78
0 97882 31
1 57853 76305
0 33962 10
0 5676 7
0 88114 25
1 39746 76260
0 28442 36
1 5315 48619
1 46550 77182
0 64798 51
1 454 74906
1 327 643
1 81639 84904
0 2243 5
1 65684 95467
0 41195 5
1 76481 88503
0 56705 62
1 13121 57102
0 24015 69
0 1812 79
1 41265 73156
1 59043 67875
1 20961 33652
0 90109 30
1 51974 88217
0 45532 13
1 1416 49534
1 33072 79649
1 40612 73146
0 99542 83
0 32983 31
0 16391 72
0 80175 59
1 6799 32914
1 58039 77577
1 11819 76172
1 12885 66307
0 64673 25
0 56539 67
0 72068 5
1 30383 76522
0 43115 6
1 59776 98000
0 76586 48
1 6680 73568
1 65516 99226
0 85300 31
1 89421 92192
1 29403 81559
1 5593 73928
0 25808 11
1 65184 66341
0 10388 81
0 84637 28
1 56525 62129
0 68612 75
1 35156 63455
0 94011 27
1 35133 47441
0 4900 45
1 26727 68168
1 12429 20540
0 40858 25
0 41752 65
1 31393 44299
1 2011 61307
1 51304 74992
0 45271 56
1 65694 92540
0 27256 12
0 43296 14
0 95820 85
0 30051 84
0 95736 3
0 33323 80
1 59131 75893
0 38604 1
1 51969 95036
0 81830 0
1 55636 62870
1 19074 74648
1 1761 4016
0 63456 70
1 25843 33251
0 85681 93
1 7741 87916
0 11975 20
1 10622 11866
0 82841 95
0 10484 99
0 86923 26
1 20535 40190
1 19765 90072
0 67422 61
0 40648 85
0 79417 30
0 55024 52
0 50845 74
1 36818 98967
1 42129 85366
1 72715 99354
1 19962 93523
0 61520 55
0 97609 72
0 9419 2
1 44225 54143
0 51321 6
1 3499 49188
1 32933 88515
0 59410 78
1 34367 52616
1 53600 90639
1 9142 26157
0 33740 27
0 63582 40
1 17397 92296
0 21868 61
0 23393 61
0 91608 35
1 21990 57739
1 24562 60455
0 13223 12
1 45686 84933
1 8990 70046
0 84308 91
1 13081 53216
1 65685 69899
1 35415 45639
0 60687 69
1 8489 50328
1 81801 99616
0 3124 54
1 42840 63702
1 35042 56854
0 42821 48
1 69929 83707
1 50548 84030
0 10185 53
0 316 21
0 15197 43
0 42835 39
1 77178 83076
0 35974 26
1 51 29481
0 87659 20
1 39040 50371
1 12521 43751
1 40652 50773
0 65777 74
0 45459 60
0 57441 10
1 8287 72412
1 17807 65665
1 69476 82695
0 9348 64
1 28924 80615
0 10835 80
1 91233 97204
1 46810 99444
0 40471 91
0 99689 59
1 2342 63920
0 11973 58
1 44636 77951
0 28341 24
1 23495 83239
0 57834 16
1 30298 84817
1 27016 52744
0 94830 66
0 78869 6
0 14019 70
1 14089 80382
1 15483 45260
1 15267 29132
1 14647 48284
1 34809 72176
1 15339 50774
0 63227 22
1 43350 57674
1 37200 63607
0 45574 13
1 38624 95085
0 64919 85
0 88646 28
0 62918 22
1 42612 77096
1 2317 18293
1 9074 21546
0 8682 96
0 50859 72
1 32205 37048
0 31659 85
0 46698 53
0 56317 29
1 17398 69249
0 35569 76
1 83232 98543
0 8081 20
1 19427 25664
1 996 82865
0 73307 52
0 67922 74
1 21027 63394
1 59354 60658
1 61408 77211
1 454 474
0 91448 24
1 10476 27167
1 12411 67185
1 34431 66282
0 11282 78
0 48157 27
1 10758 87156
1 565 21832
0 31256 89
1 67977 84170
0 71359 87
1 15086 22126
0 75673 41
0 55912 78
0 64176 60
1 77420 96500
1 5523 66271
0 33035 25
0 99223 29
0 25867 55
1 4188 42600
1 19730 28223
1 4130 36446
0 86266 91
1 32439 32655
1 62232 82326
0 61614 75
1 14454 53397
1 33894 35056
0 59641 28
1 52886 77424
0 16152 32
1 58364 66204
1 12802 45528
