100000 100000
1 19665 77100
1 1302 14336
0 62029 0
1 22633 96369
1 45700 48335
0 30800 1
1 17976 42261
1 30806 73554
0 85425 1
1 58273 94642
0 1493 0
0 37279 0
0 95208 1
1 63450 81794
0 2119 1
1 3916 45576
0 5408 1
1 11499 50069
0 38729 0
0 22197 1
1 4598 89099
1 64202 66559
0 79879 0
1 33904 39913
1 1617 62639
1 51354 91849
1 28989 82579
1 63241 84614
1 13051 38331
1 40649 59020
0 68073 1
1 57958 70155
0 55055 1
0 51132 0
0 69600 1
0 53774 0
0 19375 0
1 43803 80414
1 64809 88256
0 97977 0
0 17024 1
0 25061 0
0 99357 0
1 31094 54142
0 27064 1
0 31998 0
0 81665 1
1 21038 57540
1 15147 66366
1 38674 48126
1 83446 94826
1 16621 57110
0 69409 1
1 11283 93339
1 19681 40181
0 10583 0
1 9430 35945
1 31905 65599
1 61800 73560
0 35177 1
1 37526 61311
1 58403 77358
0 8399 1
0 54317 0
0 29992 1
0 86943 0
0 240 1
0 75839 1
0 59041 1
1 610 14939
1 90427 94895
1 49018 54508
0 31821 0
0 75950 1
0 51488 1
1 22837 36842
1 2631 70211
1 63296 86675
1 16014 50286
1 19590 32214
1 25752 52229
1 16389 35138
0 49341 1
0 99304 0
0 79510 1
1 46320 47737
1 54055 87713
0 67547 0
0 10141 0
0 35919 1
1 37092 84417
0 27696 1
0 84863 1
0 67397 0
1 18499 40158
1 48653 57260
1 43449 80483
1 14251 44871
1 15173 61526
1 20926 73897
0 10873 1
0 21554 0
0 63401 1
0 33768 0
0 79173 0
1 82237 95461
0 57895 1
1 66822 95180
0 53792 0
1 36553 43683
1 59837 86517
1 21707 53630
1 51454 89637
1 44243 48544
1 9186 84924
0 16424 0
0 22205 0
1 30413 84478
1 4888 34835
0 77566 1
1 11133 96077
1 19234 41356
0 47616 1
1 48043 95799
1 14715 31465
1 6141 41805
0 10867 0
0 82425 0
0 53887 0
1 22522 37547
1 45444 63060
0 19774 1
0 85708 1
0 53060 0
1 32339 52215
0 27144 1
1 44664 65553
1 21305 42285
1 13363 41237
1 63703 77159
0 37445 1
0 50736 0
1 77289 93602
1 68475 87549
0 67161 1
0 21656 0
0 14812 0
0 73520 1
1 1988 25257
1 8803 15130
0 42123 1
0 99315 0
0 28036 1
1 77255 83445
1 19502 33222
0 48290 0
1 34985 83201
1 16700 24102
0 41476 0
1 25742 26799
0 75765 0
1 55257 58114
1 13219 15154
1 35030 91844
0 55817 0
1 27282 31914
1 81313 93830
1 4550 8041
0 49650 1
1 21026 30734
0 8835 0
1 16286 71326
0 20201 0
0 73848 1
0 21716 0
1 7767 48819
0 37157 0
0 43176 1
0 36505 1
1 6911 12523
0 32134 0
1 26558 27191
1 3459 22449
0 59245 0
0 87567 1
0 60216 0
1 3370 17590
0 22867 0
1 23988 89304
1 15478 97264
1 30885 60444
1 26255 83156
1 40967 66421
1 25783 32239
0 44831 0
