9999 20000
0 3660 1
0 4162 0
0 8620 2
1 1421 4278
1 3359 6972
0 9555 0
0 8489 0
0 9566 1
1 6612 8947
1 3104 3623
1 7899 9561
1 1508 9573
1 5329 8005
0 4447 1
1 3292 8856
0 3669 1
1 846 6720
1 1253 9893
0 9670 1
1 4269 5104
1 6363 8522
1 3694 4535
0 2417 1
0 5331 0
0 7932 0
0 1839 1
1 3888 7226
0 6283 2
1 1060 9058
0 9843 2
0 3116 2
0 1106 2
1 7004 8127
0 3286 2
0 9381 0
1 8328 8877
0 3925 0
0 7250 0
0 4960 2
1 3446 6341
0 8662 0
1 6111 9767
0 5345 1
1 636 3094
0 218 0
0 779 0
0 1752 2
0 8597 0
0 6101 1
0 9954 0
1 1816 3019
0 2541 1
1 4313 9882
0 8576 2
0 4063 0
0 2506 1
0 1039 2
1 2914 7169
1 3106 7707
1 8468 8749
0 9089 2
0 7967 0
0 2217 2
1 6036 6164
1 5719 5964
0 9575 1
0 1381 1
0 9481 0
0 2475 0
1 4881 9594
1 4878 9668
1 8743 8816
0 8345 2
1 3173 6245
0 9450 0
0 3449 1
0 7066 0
0 3670 2
0 2812 1
0 4653 1
1 2264 9042
1 3373 9160
1 630 1662
0 8765 1
1 2844 3257
0 8455 1
0 806 0
0 7328 0
0 6125 1
0 3375 1
1 5850 8076
1 1575 2824
0 3509 1
1 8752 9925
1 1830 3260
0 1890 2
0 4199 2
0 845 0
0 6760 2
1 1107 9122
1 1410 7979
0 2820 0
1 3141 5376
1 3132 5779
0 3116 2
1 2055 9870
0 9360 2
0 1559 2
1 7039 8547
1 568 6620
1 1022 9808
1 2524 8728
1 6066 8003
1 2415 3715
0 8074 0
1 1389 4460
1 2366 6568
0 1452 2
1 329 6986
0 2544 1
1 7744 8052
0 8222 0
1 1154 7407
1 2603 2958
0 6687 2
0 63 1
1 830 9200
1 6779 8479
1 4214 5269
0 2796 0
1 2397 5036
1 9042 9193
0 6556 1
1 4813 9506
1 7018 8413
0 5508 2
0 6395 2
1 3303 5522
1 6832 8276
1 2584 4900
1 2637 8883
1 4169 9305
0 3674 1
1 1912 3764
1 3617 9368
1 7659 9806
0 467 0
0 2753 1
0 1 0
0 7091 2
0 9209 1
0 3583 2
0 6200 1
1 199 6738
0 590 0
0 5353 2
0 5416 0
1 6889 7778
0 1764 2
0 6778 0
1 3452 7535
0 3053 2
0 9847 1
1 6657 8148
1 6465 6984
0 3510 2
1 374 7515
0 1397 1
1 4668 8358
0 5375 0
0 6538 2
1 7045 8608
1 5330 9800
0 3903 0
1 6557 7470
1 4553 7901
1 4769 6876
0 1608 2
0 8517 2
0 6910 2
0 7625 2
1 3653 3917
0 40 0
1 306 2145
1 2557 7152
0 3850 0
0 6345 2
1 6466 8073
1 1412 2691
0 9443 1
1 6643 7345
1 5312 6845
0 5970 1
0 574 2
0 2201 1
1 534 7361
1 188 744
1 141 7437
1 2402 2826
0 6947 1
1 6890 9441
1 4285 6770
1 1929 4947
0 9780 0
0 7469 2
0 8578 1
1 2238 5431
1 3411 5804
0 5300 2
0 8506 0
0 3212 1
1 751 7830
1 1161 4342
0 3887 2
1 761 2696
0 1846 1
0 4515 0
0 4713 2
1 336 3797
0 5521 0
0 8399 2
1 72 6773
0 3475 1
0 2280 0
1 5019 5511
1 1982 7853
1 1848 6107
0 3374 1
0 8283 1
1 7369 7471
0 9426 1
1 4188 4554
1 5642 8763
0 2895 2
1 2740 7451
0 9399 2
1 44 8230
1 672 9965
1 2761 6444
0 5495 2
0 8328 1
1 1543 6156
0 604 0
0 9600 0
1 5186 5404
0 4301 1
1 261 728
0 2185 2
0 5269 0
1 4688 8505
1 6461 8294
1 902 8463
0 1322 1
0 5345 1
0 5292 1
0 8395 2
1 8349 8371
0 5190 0
0 3261 1
0 9041 2
1 3707 8016
0 7364 1
1 1104 4835
0 407 0
1 6706 8472
0 7580 1
0 1388 1
0 7826 2
0 4532 0
1 2669 9700
0 9558 2
1 3641 9345
1 3348 7004
0 2024 0
0 4086 2
1 154 6090
1 1659 6531
1 6859 7982
1 5346 9882
0 2244 1
0 4795 0
1 3682 5477
0 4244 2
0 6789 2
0 1702 2
1 245 3527
1 5285 8735
0 712 2
0 398 0
0 5019 0
1 8297 9144
0 7176 0
1 420 2638
1 1465 3787
1 485 675
0 2493 2
1 1211 3302
1 5437 8907
0 968 0
1 2947 5776
1 2611 5550
1 6359 9899
0 684 1
1 4884 6119
1 6589 7708
1 5734 9209
0 8700 0
1 8040 8713
0 9927 1
0 1595 1
0 8138 1
0 9113 2
1 1820 8926
0 923 0
1 6909 7127
1 3213 6257
0 6101 0
0 3591 0
1 6285 8441
0 5723 0
0 660 1
1 5178 5840
1 3451 5216
0 8312 0
1 3513 9414
0 9814 2
0 9350 2
1 800 6628
0 79 0
1 6587 7692
0 4205 2
0 7269 1
1 4675 6759
0 6040 0
1 2745 5654
0 488 0
1 1534 6285
0 4332 0
1 9292 9954
0 163 0
0 850 0
0 7495 2
1 3165 7608
0 4154 0
1 1240 7107
1 5721 7725
1 3235 5588
0 44 0
0 8889 0
0 3728 1
0 968 0
0 1404 2
1 3303 9904
0 1197 0
0 5017 2
1 8693 9173
0 1575 0
0 5766 2
0 7534 1
0 853 0
1 2788 8524
0 5860 0
0 4305 1
1 1068 8242
1 2919 5060
0 8189 0
1 3108 5084
0 4506 1
1 3224 3288
0 6668 1
0 9260 2
1 5090 5938
0 9290 2
1 1372 6496
0 4031 1
1 2386 2641
1 7106 8922
1 187 6601
0 1376 0
1 1680 2725
1 1518 5090
0 6541 0
0 7367 2
1 1432 5396
1 8522 8758
1 2682 4933
0 4177 0
0 2326 0
0 518 2
0 593 1
1 6291 9205
0 2031 1
1 2936 6915
1 3033 4872
0 5368 1
1 6653 7650
1 5374 8939
0 4451 1
1 270 5321
1 9017 9852
1 372 3108
0 3283 2
0 8869 1
1 7808 9258
0 9453 2
1 2852 7814
1 1740 8912
0 2906 2
0 1631 1
0 9732 1
0 7880 1
1 1396 1640
1 371 4529
0 4185 2
1 4472 7544
0 4771 0
0 4890 0
1 5232 9701
0 4682 1
1 616 2826
0 451 1
0 529 1
0 2859 0
1 2166 2745
1 1746 5606
0 8 0
1 4480 5976
1 934 4228
1 2701 3244
1 2374 2908
0 5450 2
0 3899 1
1 2724 8822
1 3349 3716
1 7552 8285
0 3536 2
0 3873 1
0 7874 0
1 1310 3568
0 1781 1
0 1944 1
1 4109 8930
1 1137 2310
0 3610 1
1 9022 9226
1 349 6684
1 3590 8001
1 8348 9182
1 5158 7525
1 967 6441
1 5365 8419
0 9725 1
1 6841 8036
1 3477 3513
0 321 0
0 8851 1
1 2176 4800
0 9280 0
1 4626 6665
1 1925 5591
1 5217 6390
1 4705 6217
1 5251 6390
0 8609 2
0 4393 0
1 6460 7266
0 7729 0
0 3057 0
0 469 2
0 2346 2
1 1138 2059
0 6418 2
1 630 4107
1 1503 8019
0 1684 0
0 4178 1
0 1304 0
1 6445 6449
1 5170 8480
0 972 2
0 6576 1
1 8392 9837
0 9126 2
0 119 0
0 8942 2
1 478 847
0 8744 2
0 3669 0
1 817 2837
1 1006 3676
0 3162 1
1 2749 8902
0 8180 1
1 2427 8474
0 2046 0
1 2578 7901
0 1684 2
0 8099 2
0 6841 0
1 303 7973
0 5881 0
1 6518 9777
1 1560 3318
1 8821 9501
0 7542 2
0 3065 2
0 641 2
1 9785 9899
1 8115 9151
1 897 3006
0 6422 1
0 657 2
0 7047 1
1 723 3959
0 927 1
1 7854 8627
0 2745 1
1 744 6363
1 687 9175
1 3602 8819
1 729 1085
0 450 1
1 8061 9161
0 8858 1
1 844 9136
1 6738 7435
1 4562 6159
0 4618 0
0 1621 2
0 5970 1
1 5164 6957
1 6629 8211
1 3335 6092
1 3321 6328
0 4244 1
1 943 7369
0 6938 0
1 4659 9870
1 2374 3170
0 23 0
0 7443 0
1 2303 9206
0 7913 0
0 7141 2
0 6577 2
1 2457 3534
0 7472 2
1 5604 8768
0 8801 0
0 9249 0
0 5777 0
0 6232 1
0 3828 0
0 1354 0
1 1003 1498
0 5017 1
1 943 3920
1 6914 9261
1 8113 9965
0 8534 2
1 1850 8522
0 3527 0
0 9433 0
0 5531 1
0 8016 0
0 9233 0
1 410 5630
1 9379 9662
1 2249 4389
0 5207 1
0 7212 1
1 2541 4722
1 504 7803
1 2260 6892
1 4906 6828
1 3062 4744
1 6324 7301
0 6563 2
0 6892 0
1 5312 6618
1 6636 8736
