1000 1000
1 436 600
0 872 1
1 290 979
0 512 0
0 356 2
0 293 0
0 983 2
0 451 2
0 630 2
0 474 2
0 541 2
1 751 771
1 773 951
1 396 434
1 403 657
1 81 591
1 215 541
1 405 660
1 637 805
1 36 478
0 858 2
0 439 2
1 50 923
0 928 1
0 466 0
0 886 0
0 666 1
1 20 23
1 362 579
1 213 331
0 578 2
1 41 252
0 67 2
1 236 753
0 767 1
1 798 841
0 775 2
1 299 604
1 833 986
0 603 2
0 251 2
0 169 1
1 166 875
0 714 0
1 507 839
0 130 0
0 744 0
0 482 1
1 163 939
1 323 375
1 276 353
1 677 922
1 223 972
0 900 1
1 213 373
1 197 375
0 27 1
0 5 0
0 549 0
1 527 653
1 60 714
1 242 622
0 599 0
0 546 0
1 655 939
1 13 760
1 8 52
0 378 1
1 113 642
0 379 0
1 336 450
0 264 0
1 629 967
0 680 2
0 206 2
1 559 905
1 337 814
0 123 1
0 629 1
1 150 392
0 80 1
0 447 1
0 440 2
1 364 685
1 900 919
0 721 0
0 68 2
1 145 956
1 130 252
1 807 813
0 606 0
0 463 2
0 6 0
0 107 2
0 692 1
1 124 771
1 517 888
1 643 785
1 19 611
0 207 1
0 673 0
0 762 0
0 919 0
0 299 1
1 536 779
1 737 931
0 871 0
1 630 886
1 691 779
1 40 819
1 350 394
0 233 0
1 209 918
0 625 2
0 678 1
1 192 735
1 205 459
1 623 908
0 671 2
0 207 1
0 762 2
0 977 2
1 658 706
0 767 1
0 253 2
1 639 975
1 70 635
0 528 0
0 964 1
1 100 522
0 195 2
1 818 850
1 141 377
0 779 2
1 311 616
0 883 1
0 538 1
0 450 0
0 609 2
1 370 481
1 186 364
0 947 1
1 253 385
1 251 677
0 2 1
1 74 579
1 727 954
1 287 477
1 110 477
0 695 2
0 757 2
0 975 2
0 386 1
1 336 554
0 643 0
0 807 0
1 233 501
0 891 2
0 260 1
1 6 697
0 428 0
1 822 997
1 693 937
1 410 784
1 344 421
1 583 928
0 572 2
0 819 1
1 94 988
0 86 0
0 463 0
1 366 553
1 261 494
0 1000 2
0 393 2
0 164 2
0 609 0
1 56 337
1 832 893
1 507 860
0 128 2
0 444 2
1 29 65
0 974 0
0 148 1
0 499 0
1 663 922
0 177 1
0 425 2
0 239 2
0 419 0
1 736 782
1 398 678
1 126 588
1 24 242
1 811 851
0 289 0
0 475 2
0 772 2
0 963 1
0 78 1
1 207 619
0 904 2
0 250 1
0 201 2
0 200 1
0 558 1
1 668 894
1 680 786
1 605 955
1 179 420
1 526 989
1 583 929
1 938 956
1 466 924
1 111 148
1 579 674
1 450 652
0 910 2
1 70 559
0 533 1
0 936 1
1 178 988
0 179 2
0 105 2
1 1 774
1 315 719
0 100 2
0 382 0
