216 500
0 69 0
0 38 1
1 25 178
0 137 1
0 196 1
1 35 121
1 29 121
0 182 1
1 117 184
0 204 1
1 28 35
0 64 1
1 155 207
0 19 0
0 206 0
1 47 70
1 88 132
1 31 37
1 16 147
1 69 204
1 87 98
0 27 1
0 211 0
0 17 1
1 15 213
1 8 45
0 64 1
1 11 171
0 39 0
1 23 23
1 18 91
1 49 76
0 92 1
1 77 196
1 58 92
1 200 201
1 29 82
0 78 0
0 21 1
1 123 158
0 29 0
1 28 130
0 213 0
1 7 67
0 52 0
0 55 1
1 96 179
1 50 122
0 204 0
1 115 216
0 94 1
0 60 0
1 158 158
0 11 1
1 151 191
1 47 159
1 32 170
1 72 85
1 132 143
1 155 203
0 127 0
0 133 1
0 169 1
1 36 40
0 69 1
1 17 181
0 191 0
0 170 1
0 188 0
0 69 0
0 21 1
0 36 1
1 28 142
0 63 1
0 114 0
1 77 84
0 159 1
0 106 0
0 200 0
1 6 23
1 86 198
1 145 171
1 5 8
0 40 1
0 191 0
0 28 0
1 99 142
0 86 1
0 22 0
0 122 0
0 43 0
1 149 185
1 201 206
0 208 1
0 6 0
0 3 1
0 113 0
1 14 119
1 37 94
1 111 203
0 8 0
1 85 126
0 215 1
1 3 100
0 86 1
0 26 1
0 73 1
0 24 1
1 53 178
0 92 1
1 48 146
1 7 107
1 95 145
0 147 1
1 128 181
1 20 131
0 131 1
1 148 181
0 61 0
1 114 176
0 96 0
0 18 0
0 129 0
1 88 142
0 199 1
0 24 0
1 63 101
1 9 208
0 107 1
0 105 0
1 41 145
0 94 1
1 100 129
0 190 1
1 88 109
1 2 164
0 134 1
1 20 87
1 37 171
0 27 0
1 164 212
0 155 0
0 124 0
0 30 0
0 29 1
1 57 78
1 75 216
1 86 122
1 85 104
0 76 0
0 113 0
1 57 99
1 205 205
0 18 1
0 133 0
1 109 138
1 91 111
1 12 16
0 208 1
0 76 0
1 162 175
1 14 186
0 95 1
0 213 0
0 67 1
1 22 180
1 92 165
0 144 0
1 25 162
0 31 0
0 148 0
0 90 1
1 124 206
1 140 143
0 6 1
1 182 196
1 31 81
0 209 1
0 154 1
0 112 0
1 154 197
0 176 0
1 57 211
0 122 1
0 103 1
0 136 1
0 72 1
1 179 189
1 6 7
1 21 192
1 28 74
1 98 160
0 189 1
1 14 201
0 23 1
1 156 203
0 126 1
1 153 169
0 174 1
1 100 147
0 110 0
1 181 213
0 90 0
0 11 0
0 4 0
1 20 66
1 93 143
0 185 1
0 22 0
1 38 90
1 66 160
0 68 1
0 119 1
0 162 1
1 156 181
1 166 206
1 49 192
0 92 0
1 63 213
0 111 0
1 10 99
1 68 207
0 79 1
0 6 1
1 62 163
1 120 143
1 34 46
0 50 1
1 3 98
0 97 0
1 103 202
0 53 0
0 144 1
0 49 1
1 53 165
1 2 136
1 178 203
0 132 1
0 157 0
0 35 1
0 64 1
0 89 1
0 206 0
1 99 196
0 33 0
1 83 196
1 142 208
1 28 143
1 11 61
0 114 0
1 46 154
1 30 150
0 39 0
1 124 186
0 96 1
1 42 102
1 49 104
0 195 1
0 154 1
0 53 1
1 101 182
0 144 1
1 77 139
0 51 0
1 9 138
1 47 108
1 5 159
0 20 0
1 56 187
1 106 136
0 197 0
1 110 185
0 193 1
0 62 0
1 134 166
1 166 203
0 201 1
1 57 140
1 152 185
1 25 73
1 37 136
1 69 80
1 67 77
0 148 0
0 169 0
0 120 0
1 51 213
0 85 1
0 110 0
1 89 103
1 89 102
1 46 200
0 8 0
1 1 157
1 154 184
1 47 68
1 65 163
0 117 0
1 20 81
0 85 0
1 86 201
0 140 1
0 50 1
0 95 1
1 89 137
1 27 157
1 85 210
1 57 164
1 67 110
1 19 76
0 201 0
0 63 1
1 78 158
0 37 1
1 68 116
0 170 1
0 143 1
1 61 72
0 136 1
0 202 0
1 149 205
0 173 1
0 8 1
0 124 1
0 80 0
1 125 146
0 86 1
0 209 1
1 33 208
0 156 0
0 25 1
1 181 216
1 100 123
0 76 0
0 106 1
1 28 156
1 2 99
1 11 49
1 77 84
1 109 111
0 130 0
1 44 143
0 176 1
0 70 0
0 86 1
1 117 142
1 46 95
1 37 124
1 152 185
1 60 78
0 192 0
1 32 133
0 147 0
0 3 0
1 73 205
0 185 0
1 84 110
0 196 0
1 92 172
0 101 1
0 135 1
1 37 43
0 12 0
0 21 0
0 209 1
1 86 88
1 85 93
0 184 1
0 132 1
1 22 193
0 145 1
0 23 1
1 74 186
0 111 1
1 19 22
0 110 1
0 92 0
0 35 0
0 177 0
1 164 181
0 14 1
0 155 1
1 154 196
0 159 0
1 37 73
1 13 203
0 58 1
1 121 143
0 142 1
0 72 1
1 39 206
0 188 1
1 83 124
0 8 1
1 57 116
1 64 101
0 53 1
0 146 1
1 113 178
0 61 1
0 136 0
0 142 1
0 177 0
0 151 1
1 26 108
0 78 0
0 51 0
0 61 1
0 75 0
0 51 1
0 212 1
1 49 133
1 55 206
1 57 157
0 120 1
0 207 0
1 113 189
1 17 45
1 117 186
1 58 70
0 24 0
1 80 193
0 122 1
1 20 199
1 73 197
1 23 170
0 92 0
1 62 180
0 25 0
1 44 62
0 169 1
0 93 0
0 160 0
0 50 1
1 40 102
0 92 0
1 172 180
0 10 1
1 124 143
0 90 1
1 13 54
1 200 216
1 69 147
0 118 1
0 211 0
0 60 1
0 128 1
1 121 145
1 156 197
0 189 1
0 142 0
1 61 181
0 186 1
1 5 129
0 26 1
0 172 1
1 22 134
1 22 45
0 209 1
1 169 180
1 10 55
0 46 0
0 22 1
1 125 147
0 112 0
0 1 0
0 181 1
1 144 147
0 210 1
1 92 159
0 160 1
0 150 0
0 194 1
1 8 125
0 214 1
0 126 1
0 199 1
0 65 1
0 39 0
0 73 1
1 72 135
0 190 1
1 40 203
0 32 1
0 198 1
0 174 0
0 19 0
1 137 184
1 114 197
1 59 159
1 34 133
1 193 207
0 69 1
0 77 1
0 215 1
0 45 1
0 15 0
1 141 211
1 4 100
1 73 168
