10000 2000
0 1783 1
0 8368 1
1 5463 5995
1 4417 6276
0 1439 0
0 8897 0
0 1560 1
0 4446 1
0 8417 1
1 9022 9186
0 6672 1
1 197 4458
0 8389 0
1 8403 9708
1 2708 6607
0 2005 0
0 7693 1
1 4024 4595
0 3388 0
0 5070 0
0 514 0
0 4776 0
0 6358 1
1 1817 6287
0 1404 0
0 8510 1
1 2540 9158
0 5620 0
0 4738 0
0 8005 0
0 3495 1
1 6535 7810
0 1551 0
1 7542 9979
1 4593 5809
1 3177 6872
1 952 7277
0 7804 1
0 1832 1
0 9818 0
0 5373 1
0 9403 1
0 4044 0
0 2195 0
0 4251 1
1 4520 4977
1 5738 8094
0 1670 1
1 6624 7487
1 631 7948
1 4281 4825
1 3079 6982
0 939 1
1 3443 5408
1 4189 5931
1 2073 3580
1 1495 3863
1 1081 1150
1 576 6510
1 960 7627
1 3020 3540
1 5638 7590
0 2190 1
0 5948 1
0 7443 1
0 9877 1
0 7087 0
1 3818 4764
1 5276 7243
1 6760 7796
0 8360 1
1 2356 5634
0 2404 1
0 2714 0
1 2446 2740
1 1473 7297
1 5143 7882
1 5872 7913
1 1378 9842
0 8999 0
0 4733 0
1 2324 6804
0 3445 1
0 1772 1
0 5743 0
0 2807 0
1 6463 8502
0 1078 0
0 2862 1
0 2589 1
0 8837 0
0 2268 0
1 1560 2730
1 3040 4516
0 3597 1
0 1093 0
1 605 3592
0 8169 1
0 948 0
1 3000 9073
1 5432 6605
0 7603 1
0 3305 1
1 8376 9599
0 605 1
1 5698 9696
0 1611 1
1 2249 6348
1 1148 4178
0 3127 0
0 7295 0
0 8592 0
1 2492 4101
0 7518 0
1 3731 7834
0 1250 0
0 5347 1
0 3163 1
0 2843 0
1 1924 5304
0 1771 1
0 8079 0
1 2244 8897
1 7446 8693
0 3645 1
0 9326 1
1 759 8413
1 374 1833
0 2740 1
0 4214 1
1 4227 4544
0 2122 1
1 4089 6444
1 4269 6208
0 7679 1
1 894 6680
1 957 4987
0 5838 1
