100000 100000
1 76760 86811
0 80425 759
1 24823 64755
1 25824 86896
1 12351 26869
0 47546 666
1 87188 95606
0 79575 686
1 29783 42672
1 47288 48605
0 22617 347
0 47373 725
1 41039 89068
1 79027 86606
0 43868 998
0 60913 518
0 4458 36
1 61287 69771
1 55053 72801
0 8747 289
1 55655 59677
0 4990 369
1 42600 56623
0 93529 979
1 8365 85043
1 85318 87366
1 16728 17536
0 90845 385
1 57678 76586
1 2843 17403
0 69863 821
0 82386 962
0 88013 497
1 38389 42214
1 55749 69334
0 67960 961
0 97908 348
1 10553 33606
1 28671 80312
1 15157 41764
0 13917 497
0 55926 747
1 15601 42114
0 95478 961
0 52935 492
0 87584 274
0 83769 224
0 8480 365
0 27212 691
0 15817 548
0 70928 868
0 19127 52
1 5058 26394
1 37472 69160
0 7665 8
0 46520 414
1 13988 87307
1 91231 97685
0 75143 285
1 73146 92873
1 7829 89195
0 97792 418
1 73243 92850
0 98809 274
1 14839 81415
1 79939 90839
0 94393 36
0 72066 873
1 36477 70382
1 2467 29417
0 68458 821
1 14301 63567
0 64898 714
0 1040 994
0 86815 10
1 76533 98218
0 46796 851
0 86686 789
0 45283 149
1 17017 47463
1 28366 86401
0 12891 442
0 32619 175
0 32310 896
0 38802 460
0 53169 6
0 86402 869
0 81233 340
1 24446 76648
1 50303 71797
0 28519 220
1 25305 26420
1 2579 56902
1 5153 44528
1 44006 69578
1 30091 39060
1 34188 54989
1 23605 94098
1 542 52952
0 37006 703
0 84399 565
1 28705 57810
0 99681 199
0 15832 361
1 12337 72242
0 79311 291
1 34138 61797
1 584 19472
0 38149 501
1 6292 59463
0 94721 635
1 5083 86344
0 2932 624
0 56238 380
1 10507 27127
0 18884 620
1 23977 31282
1 4940 54448
0 16649 516
1 42083 79740
0 72844 356
1 11904 38147
0 77316 470
1 795 58591
0 3692 723
1 78468 81219
0 7052 881
0 19963 725
1 51754 84902
1 5926 47900
0 60711 146
0 91752 578
1 72525 78693
0 13403 695
0 50252 140
1 36045 54334
0 61083 471
0 34934 191
1 14 80871
0 71209 712
0 67063 671
1 13360 83112
0 50163 417
1 79093 91062
0 47565 269
0 19924 486
0 9073 206
1 42486 61437
0 68582 636
0 14146 251
0 83293 103
1 17372 74489
0 96359 381
0 26160 902
1 4785 65675
0 67281 721
0 74511 933
0 39033 842
0 9301 988
1 34061 61494
0 40562 791
0 42160 81
1 22690 70367
0 68834 0
1 10425 56464
0 84021 182
1 53176 60698
0 53088 233
1 8846 86666
0 53769 610
0 41943 834
0 71469 394
0 28312 315
1 17254 86614
1 7918 16059
0 90913 260
0 25907 537
1 20444 64003
0 3555 890
0 41227 272
1 6292 8009
1 73646 81009
0 71789 157
0 61687 569
0 6920 986
1 32840 61003
0 89083 728
0 82427 223
0 38690 679
1 6682 33311
1 49102 63332
0 18056 277
1 58185 75641
0 65518 575
1 59298 62728
1 2781 71284
0 50412 805
1 35378 76088
0 59677 921
1 37609 50485
1 10665 37852
1 7057 66405
0 43964 764
0 11404 199
1 63210 82346
0 2263 231
0 89160 131
0 69068 992
0 1794 131
0 78611 377
0 23790 943
1 2138 41342
0 36567 552
0 14724 376
1 20592 48643
1 31920 74319
1 4009 5795
0 43497 724
0 44588 475
0 17459 905
0 12037 311
1 37315 52402
1 54210 61536
0 91207 249
0 73393 778
1 40903 49777
0 81672 667
0 66276 854
1 30381 69968
0 12318 889
1 41474 43045
0 97655 806
0 29981 405
0 72416 253
1 60426 78972
0 17158 137
0 52537 987
0 8417 535
1 58706 78269
1 40034 97103
0 24208 692
1 30566 66671
0 27316 418
0 72922 13
1 11031 36693
0 6461 682
1 5620 13382
1 18448 22960
1 13534 80063
1 8460 81149
0 40542 751
1 86601 93397
1 26599 86172
0 58756 734
1 1404 9479
0 14062 608
1 16906 66744
0 31971 830
1 22897 96688
1 51381 70086
0 96511 205
1 5936 99795
1 34889 81208
1 66887 69423
1 17729 55534
0 19692 496
0 9931 800
1 2337 38547
1 53102 88228
0 88958 937
1 68481 83325
1 42310 49633
0 26987 567
0 57222 72
0 76355 662
0 12329 954
1 76347 86297
1 36530 52316
1 13671 74022
1 11247 98907
1 43568 49213
1 10126 62944
0 58399 360
1 8318 95130
1 60168 96791
0 68757 281
1 3945 81615
