32 200
1 10 24
0 17 31
0 14 37
0 7 7
0 27 4
1 6 18
1 2 27
1 14 21
1 9 13
1 2 19
0 12 35
1 7 16
1 13 31
0 25 5
1 4 32
0 10 30
0 32 0
1 5 25
1 3 19
1 13 15
0 8 22
0 30 48
0 32 19
1 5 25
1 7 32
0 29 22
1 17 25
0 16 2
1 1 23
0 2 28
1 3 6
0 13 14
0 11 24
0 14 27
1 3 21
0 14 38
0 4 19
0 17 47
1 15 23
0 16 24
1 19 21
0 31 26
0 24 41
1 26 27
1 26 26
0 15 25
1 17 22
0 9 21
0 9 18
1 16 27
0 3 11
1 19 31
1 19 29
1 21 25
0 1 26
0 17 48
0 22 18
1 14 15
0 2 34
0 23 21
1 9 10
0 28 43
0 11 39
0 28 34
0 5 38
1 20 31
0 18 25
0 22 26
0 10 40
0 25 22
0 15 40
1 25 27
0 3 28
0 21 7
0 18 21
0 9 32
1 14 28
1 11 12
1 9 11
0 4 45
1 10 11
0 28 15
0 10 3
0 1 33
0 8 39
0 18 45
0 18 20
1 23 23
0 25 41
1 10 31
0 15 39
0 16 40
1 6 7
1 5 10
0 14 33
1 24 31
1 1 20
1 17 23
0 1 48
0 9 26
0 11 34
1 13 22
1 10 20
0 18 9
0 24 32
0 20 6
0 31 35
0 18 8
0 15 35
1 23 27
1 15 32
1 16 32
1 1 16
1 12 12
0 2 11
1 2 9
0 31 23
0 19 10
1 10 19
1 18 21
0 23 28
0 2 13
0 10 13
1 6 12
0 4 49
0 14 29
1 21 30
0 19 20
0 16 40
1 13 18
1 2 17
1 13 24
0 9 44
1 11 24
0 24 32
1 10 16
0 22 14
0 1 2
0 4 11
0 20 19
1 1 2
1 5 10
0 7 2
0 3 22
0 9 30
0 16 17
0 20 26
0 19 36
0 15 48
1 10 19
1 4 28
1 17 29
0 14 17
0 1 48
1 7 32
0 7 24
0 20 18
0 3 38
1 22 24
0 22 32
0 19 25
0 19 21
1 22 25
1 10 13
0 28 27
1 5 25
1 21 31
0 24 16
1 12 30
1 3 14
1 18 19
0 31 11
1 2 3
1 8 23
1 22 22
0 12 17
0 32 5
1 5 17
0 29 28
1 16 28
0 2 1
1 14 16
0 5 16
0 11 3
0 11 3
1 24 28
1 6 8
0 27 34
0 3 42
1 19 26
0 21 47
0 18 18
1 16 25
0 11 44
0 27 42
1 6 30
0 19 40
1 3 12
1 7 23
0 4 42
